"2015-10-29",127
"2015-10-30",87
"2015-11-01",18
"2015-11-02",321
"2015-11-03",115
"2015-11-04",289
"2015-11-05",207
"2015-11-06",238
"2015-11-07",93
"2015-11-08",92
"2015-11-09",252
"2015-11-10",243
"2015-11-11",245
"2015-11-12",221
"2015-11-13",171
"2015-11-14",66
"2015-11-15",42
"2015-11-16",245
"2015-11-17",254
"2015-11-18",230
"2015-11-19",216
"2015-11-20",148
"2015-11-21",64
"2015-11-22",46
"2015-11-23",196
"2015-11-24",233
"2015-11-25",217
"2015-11-26",180
"2015-11-27",70
"2015-11-28",17
"2015-11-29",25
"2015-11-30",67
"2015-12-01",14
"2015-12-02",0
"2015-12-03",2
"2015-12-04",14
"2015-12-05",1
"2015-12-06",0
"2015-12-07",1
"2015-12-08",48
"2015-12-09",168
"2015-12-10",241
"2015-12-11",153
"2015-12-12",31
"2015-12-13",28
"2015-12-14",189
"2015-12-15",224
"2015-12-16",190
"2015-12-17",162
"2015-12-18",129
"2015-12-19",40
"2015-12-20",37
"2015-12-21",144
"2015-12-22",49
"2015-12-23",63
"2015-12-24",0
"2015-12-25",0
"2015-12-26",0
"2015-12-27",0
"2015-12-28",73
"2015-12-29",71
"2015-12-30",59
"2015-12-31",7
"2016-01-01",2
"2016-01-02",2
"2016-01-03",0
"2016-01-04",24
"2016-01-05",0
"2016-01-06",11
"2016-01-07",93
"2016-01-08",121
"2016-01-09",53
"2016-01-10",150
"2016-01-11",174
"2016-01-12",119
"2016-01-13",145
"2016-01-14",134
"2016-01-15",160
"2016-01-16",58
"2016-01-17",43
"2016-01-18",194
"2016-01-19",224
"2016-01-20",247
"2016-01-21",186
"2016-01-22",134
"2016-01-23",61
"2016-01-24",42
"2016-01-25",137
"2016-01-26",157
"2016-01-27",63
"2016-01-28",67
"2016-01-29",36
"2016-01-30",20
"2016-01-31",7
"2016-02-01",78
"2016-02-02",67
"2016-02-03",66
"2016-02-04",70
"2016-02-05",6
"2016-02-06",8
"2016-02-07",0
"2016-02-08",7
"2016-02-09",3
"2016-02-10",2
"2016-02-11",4
"2016-02-12",0
"2016-02-13",0
"2016-02-14",0
"2016-02-15",57
"2016-02-16",66
"2016-02-17",146
"2016-02-18",119
"2016-02-19",74
"2016-02-20",28
"2016-02-21",29
"2016-02-22",81
"2016-02-23",125
"2016-02-24",137
"2016-02-25",161
"2016-02-26",109
"2016-02-27",112
"2016-02-28",29
"2016-02-29",196
"2016-03-01",200
"2016-03-02",167
"2016-03-03",176
"2016-03-04",135
"2016-03-05",57
"2016-03-06",47
"2016-03-07",144
"2016-03-08",200
"2016-03-09",163
"2016-03-10",106
"2016-03-11",97
"2016-03-12",21
"2016-03-13",15
"2016-03-14",135
"2016-03-15",200
"2016-03-16",256
"2016-03-17",269
"2016-03-18",243
"2016-03-19",152
"2016-03-20",93
"2016-03-21",226
"2016-03-22",178
"2016-03-23",242
"2016-03-24",45
"2016-03-25",80
"2016-03-26",84
"2016-03-27",126
"2016-03-28",85
"2016-03-29",137
"2016-03-30",206
"2016-03-31",207
"2016-04-01",161
"2016-04-02",138
"2016-04-03",139
"2016-04-04",513
"2016-04-05",344
"2016-04-06",385
"2016-04-07",397
"2016-04-08",161
"2016-04-09",330
"2016-04-10",221
"2016-04-11",459
"2016-04-12",494
"2016-04-13",431
"2016-04-14",1015
"2016-04-15",389
"2016-04-16",114
"2016-04-17",0
"2016-04-18",0
"2016-04-19",196
"2016-04-20",294
"2016-04-21",234
"2016-04-22",319
"2016-04-23",109
"2016-04-24",175
"2016-04-25",512
"2016-04-26",455
"2016-04-27",443
"2016-04-28",354
"2016-04-29",300
"2016-04-30",215
"2016-05-01",122
"2016-05-02",453
"2016-05-03",350
"2016-05-04",561
"2016-05-05",122
"2016-05-06",391
"2016-05-07",297
"2016-05-08",165
"2016-05-09",655
"2016-05-10",609
"2016-05-11",559
"2016-05-12",513
"2016-05-13",502
"2016-05-14",202
"2016-05-15",199
"2016-05-16",231
"2016-05-17",0
"2016-05-18",587
"2016-05-19",649
"2016-05-20",750
"2016-05-21",243
"2016-05-22",256
"2016-05-23",543
"2016-05-24",453
"2016-05-25",338
"2016-05-26",368
"2016-05-27",288
"2016-05-28",169
"2016-05-29",190
"2016-05-30",702
"2016-05-31",500
"2016-06-01",545
"2016-06-02",659
"2016-06-03",718
"2016-06-04",2055
"2016-06-06",995
"2016-06-07",795
"2016-06-08",715
"2016-06-09",567
"2016-06-10",455
"2016-06-11",291
"2016-06-12",219
"2016-06-13",626
"2016-06-14",691
"2016-06-15",654
"2016-06-16",542
"2016-06-17",417
"2016-06-18",270
"2016-06-19",342
"2016-06-20",442
"2016-06-21",561
"2016-06-22",665
"2016-06-23",595
"2016-06-24",454
"2016-06-25",250
"2016-06-26",154
"2016-06-27",575
"2016-06-28",553
"2016-06-29",473
"2016-06-30",509
"2016-07-01",460
"2016-07-02",171
"2016-07-03",357
"2016-07-04",707
"2016-07-05",655
"2016-07-06",588
"2016-07-07",636
"2016-07-08",409
"2016-07-09",210
"2016-07-10",169
"2016-07-11",1017
"2016-07-12",591
"2016-07-13",606
"2016-07-14",1388
"2016-07-15",265
"2016-07-16",270
"2016-07-17",252
